Id,Price
725,167546.04034927787
15856,235227.13678142536
5480,278230.2556212378
15664,293017.3970441279
14275,143662.40975171863
7633,236361.6889534344
13329,157830.0247837033
5502,236601.2899880227
4220,300315.7320020589
11538,211959.43163053392
15975,278911.8703629567
3310,214229.80953265348
9286,148669.39735960704
11260,189299.9549407111
5214,106562.44163231901
11307,181948.9978194553
13543,363036.27255768114
615,176116.00451919495
3495,218257.42217793845
2321,237437.7851677469
12046,190989.2015024435
16688,145124.88255386607
12694,219453.08991910733
783,157677.87146603182
8968,158133.59464521232
13454,179132.0846205524
12190,251759.85002449487
11160,111681.82033269982
10291,197915.51492190972
891,339329.89342081157
2982,173308.85192479927
3818,261412.91795468197
2449,171415.7786335935
8317,160483.26076167624
4922,173386.8091246845
1257,229106.0382790403
9348,220917.45288024
4176,176512.9292531922
10704,173542.63062993775
6624,112710.37472233492
5428,169006.99555277615
12749,163008.35919456667
8994,155088.54999945353
11513,143530.5988214033
3047,177093.81992070025
9519,206935.87946843292
12309,263777.9172179025
14081,294448.5308325374
8334,246508.20031224616
6343,182180.56619716896
14788,141165.86873090622
15748,310405.88925398706
153,262854.26149189816
14149,184543.58949129778
269,201530.05082048118
5452,150032.87458255145
721,128454.68997970443
5079,310758.39803816174
2831,137297.63498223724
10614,116486.03463253683
10131,368345.5018174772
9996,285624.47672430484
3061,189300.36724685636
11733,320798.18078230217
3726,234488.23132563487
10929,216824.62170849848
9011,190239.0456259736
16182,287320.29719629756
4976,183074.22545374278
9897,249912.9754904736
1872,168011.4893528895
9205,198187.71479931238
5403,361053.9172432859
14074,212308.98965380422
6268,164206.60512260682
14232,169638.946824775
8532,256392.116332641
7034,313999.7470951471
6553,350109.7660055086
3133,175196.3754425036
8596,201138.7059712241
12389,210603.53881465917
14462,184445.60723017537
8860,299891.5167871578
8377,330580.64733733423
6367,305532.51267252106
6917,258270.576579802
4216,217298.77707584464
5806,169973.41696611734
5438,173751.28880308405
6632,218639.48647112172
2650,148164.91956876218
5396,221236.96419332208
4044,147387.5009342033
1345,243205.11160532743
856,157795.74155746083
12791,259259.30612329036
12499,210923.63017431746
12249,129244.98165761025
14641,136927.39421298177
1919,173115.1505976346
7848,194991.04560354093
10749,173647.87744289415
15554,195295.16301366774
15834,201661.45139406854
1355,163371.45705948563
15451,179801.4610975151
12401,208028.99040136722
10290,169799.394294753
9462,118384.49549387865
3103,233257.74550532468
3420,136134.73089994743
12262,248230.39401067572
5032,140945.66342663975
8949,360617.19802655827
15567,228289.82680294252
16389,169482.922464812
7809,87468.61286794565
8990,194787.35281980774
16089,275962.35316546174
12743,106539.03782679634
5132,132456.73207497917
1619,303673.61929563194
2428,92209.93717096483
16741,168561.76627726806
13193,229293.21820942656
12588,532295.5258451265
5067,172815.99040938533
14685,130436.07957570552
2292,179731.31999474324
5746,118933.88039390725
12578,150413.58521261578
14834,207747.03434063087
2147,173633.28738101554
8222,127543.28373455344
10419,247801.90167328718
11492,231855.9721437056
3006,218339.39086921973
8761,186954.70717723336
15371,373546.9635954395
16367,152135.51528354362
6317,257394.2469591658
10878,261111.56753913785
3895,149865.53258793897
8041,148073.33283806572
13428,472541.1516749763
14669,157492.52186480505
1006,177877.30360335857
12271,163712.84706129585
3764,437614.2857665476
7675,175228.18894081877
11709,279963.1109214643
8629,149700.3018059252
1105,236925.8630648306
6096,179956.31376649643
11727,216752.21613242172
5157,156747.49578439567
3679,152592.61056281542
1755,135347.60755224086
7391,172746.0544168493
7425,100107.26537488011
6882,349537.35895255546
10752,368113.9348906303
7472,206688.33800719524
14320,98820.19171762177
9596,176543.03304262637
5317,221131.0444530666
7378,87432.47603711807
16154,170937.3554264792
3464,197089.28565748237
4197,248340.10910255995
9477,114196.83718555719
12705,195316.9050212767
16426,202596.11340902018
1481,65630.18624490299
9946,249967.097754789
12025,234863.2880684331
5341,226332.53203526454
9923,304102.4105175572
7953,300318.9868803124
11066,247572.51674592693
5037,170546.3191253569
2509,191451.65630902187
